,events.out.tfevents.1680472215.a53ed19ff0d2.13485.0
168,-370.17230224609375
169,-423.05780029296875
170,-330.6077880859375
171,-352.9537353515625
172,-305.8307189941406
173,-287.2898864746094
174,-384.1202087402344
175,-338.7584228515625
176,-332.70361328125
177,-289.041748046875
178,-288.10675048828125
179,-318.0226135253906
180,-241.24366760253906
181,-265.9783935546875
182,-308.43023681640625
183,-310.9031982421875
184,-268.6831970214844
185,-156.46168518066406
186,-412.96710205078125
187,-347.0101318359375
188,-293.66632080078125
189,-327.9708251953125
190,-356.3011474609375
191,-289.3268737792969
192,-332.0176696777344
193,-234.08096313476562
194,-278.64520263671875
195,-205.01220703125
196,-323.71954345703125
197,-186.1682586669922
198,-337.6522521972656
199,-191.88140869140625
200,-245.7777557373047
201,-199.89048767089844
202,-270.02777099609375
203,-258.3649597167969
204,-219.68359375
205,-170.75393676757812
206,-192.73516845703125
207,-276.62530517578125
208,-218.61289978027344
209,-216.23321533203125
210,-156.15786743164062
211,-223.89244079589844
212,-292.3393249511719
213,-205.0261688232422
214,-288.6195068359375
215,-220.57980346679688
216,-196.79124450683594
217,-241.40606689453125
218,-273.7960205078125
219,-114.47946166992188
220,-228.34043884277344
221,-156.40614318847656
222,-197.3953857421875
223,-150.5248565673828
224,-142.17002868652344
225,-145.1057891845703
226,-118.13992309570312
227,-216.75527954101562
228,-138.33248901367188
229,-116.08499145507812
230,-157.5558624267578
231,-126.46636199951172
232,-167.72132873535156
233,-199.39981079101562
234,-193.77529907226562
235,-96.84346008300781
236,-142.07943725585938
237,-174.15809631347656
238,-132.81576538085938
239,-132.4361114501953
240,-109.81309509277344
241,-103.92440795898438
242,-136.78671264648438
243,-139.33815002441406
244,-109.8253173828125
245,-117.73959350585938
246,-87.63639831542969
247,-103.66653442382812
248,-101.7965316772461
249,-81.23564147949219
250,-81.24083709716797
251,-111.22469329833984
252,-98.27588653564453
253,-115.30286407470703
254,-90.48236083984375
255,-107.31050872802734
256,-76.14685821533203
257,-85.7417221069336
258,-94.59827423095703
259,-91.10025787353516
260,-80.50875854492188
261,-76.81720733642578
262,-100.03350067138672
263,-92.95706939697266
264,-83.59274291992188
265,-95.99656677246094
266,-97.3433609008789
267,-105.34071350097656
268,-79.82797241210938
269,-84.4903335571289
270,-111.2188720703125
271,-127.92676544189453
272,-90.43550872802734
273,-84.07154083251953
274,-144.5318145751953
275,-110.31324768066406
276,-83.38426971435547
277,-94.77261352539062
278,-76.4594497680664
279,-112.57077026367188
280,-94.8193588256836
281,-86.52217102050781
282,-82.51731872558594
283,-91.88227081298828
284,-99.230224609375
285,-86.08779907226562
286,-82.0016098022461
287,-101.30047607421875
288,-106.486083984375
289,-124.29645538330078
290,-100.48280334472656
291,-95.68182373046875
292,-87.88700866699219
293,-86.07013702392578
294,-107.41619110107422
295,-98.16069793701172
296,-83.95134735107422
297,-95.91336059570312
298,-80.74089050292969
299,-83.50163269042969
300,-98.64502716064453
301,-97.11359405517578
302,-91.27741241455078
303,-123.5682601928711
304,-116.884765625
305,-114.49639129638672
306,-108.01251983642578
307,-113.5517349243164
308,-93.12334442138672
309,-104.0145492553711
310,-123.15425109863281
311,-86.60391998291016
312,-85.24211120605469
313,-108.0025634765625
314,-111.7138442993164
315,-125.23150634765625
316,-114.72620391845703
317,-100.34540557861328
318,-92.43148803710938
319,-105.18635559082031
320,-90.50559997558594
321,-91.2186279296875
322,-95.1852798461914
323,-89.54597473144531
324,-116.04792022705078
325,-92.78108215332031
326,-86.03507995605469
327,-75.56742858886719
328,-82.32784271240234
329,-106.65973663330078
330,-80.72466278076172
331,-77.7671127319336
332,-114.33263397216797
333,-119.87933349609375
334,-114.920654296875
335,-113.30953216552734
336,-100.34562683105469
337,-81.77803039550781
338,-89.58229064941406
339,-108.9310531616211
340,-95.58147430419922
341,-105.94677734375
342,-84.16548919677734
343,-93.92008209228516
344,-79.3636474609375
345,-91.4745101928711
346,-82.50755310058594
347,-124.42076110839844
348,-117.10446166992188
349,-92.87899780273438
350,-81.13783264160156
351,-86.20956420898438
352,-90.11902618408203
353,-135.11172485351562
354,-98.11683654785156
355,-99.39036560058594
356,-99.87310028076172
357,-118.46749877929688
358,-100.61592864990234
359,-115.69710540771484
360,-79.0149917602539
361,-120.37763977050781
362,-106.06700897216797
363,-142.2804718017578
364,-112.82506561279297
365,-84.87614440917969
366,-86.41323852539062
367,-125.89856719970703
368,-150.56956481933594
369,-113.9962158203125
370,-132.31591796875
371,-107.2457504272461
372,-112.6463394165039
373,-115.71631622314453
374,-89.57955169677734
375,-116.8479995727539
376,-113.79737091064453
377,-91.3598861694336
378,-87.05545043945312
379,-89.13331604003906
380,-93.17636108398438
381,-120.42749786376953
382,-112.55335998535156
383,-121.59831237792969
384,-105.47219848632812
385,-135.3893280029297
386,-102.24544525146484
387,-101.96880340576172
388,-138.7911834716797
389,-112.5492935180664
390,-116.91986846923828
391,-105.16971588134766
392,-81.16631317138672
393,-103.7571792602539
394,-106.42279052734375
395,-82.13031768798828
396,-108.94464111328125
397,-81.21751403808594
398,-102.52323913574219
399,-128.24276733398438
400,-104.89419555664062
401,-118.94938659667969
402,-116.56993103027344
403,-99.28765869140625
404,-109.38265991210938
405,-89.7183837890625
406,-84.50613403320312
407,-102.41455078125
408,-87.2691879272461
409,-133.01425170898438
410,-105.76319122314453
411,-106.62641906738281
412,-124.80524444580078
413,-113.735595703125
414,-94.89971160888672
415,-90.17496490478516
416,-94.20743560791016
417,-110.28700256347656
418,-127.72923278808594
419,-92.68315124511719
420,-72.39567565917969
421,-93.68345642089844
422,-84.416015625
423,-123.15951538085938
424,-81.76576232910156
425,-77.90479278564453
426,-138.02244567871094
427,-94.18672180175781
428,-78.7931137084961
429,-94.79661560058594
430,-103.88785552978516
431,-121.83757781982422
432,-82.98076629638672
433,-117.6502914428711
434,-119.18879699707031
435,-96.04080963134766
436,-95.05704498291016
437,-110.69304656982422
438,-109.09284210205078
439,-89.61985778808594
440,-74.20071411132812
441,-95.94339752197266
442,-118.0108642578125
443,-101.7927474975586
444,-100.22513580322266
445,-76.17481231689453
446,-75.62470245361328
447,-107.94881439208984
448,-111.90131378173828
449,-97.8338851928711
450,-104.71802520751953
451,-77.54243469238281
452,-113.37132263183594
453,-104.35482025146484
454,-89.28118133544922
455,-83.35318756103516
456,-84.6435317993164
457,-89.31791687011719
458,-103.04585266113281
459,-110.26872253417969
460,-100.09097290039062
461,-78.59127044677734
462,-92.10366821289062
463,-116.71403503417969
464,-130.7667236328125
465,-113.81295013427734
466,-94.83543395996094
467,-97.5079116821289
468,-100.86551666259766
469,-105.28929138183594
470,-83.28140258789062
471,-116.81947326660156
472,-75.10347747802734
473,-105.43824768066406
474,-108.04722595214844
475,-95.77188873291016
476,-89.88461303710938
477,-97.27102661132812
478,-119.13079071044922
479,-86.18061065673828
480,-86.39608001708984
481,-93.9925537109375
482,-73.75310516357422
483,-99.88941192626953
484,-94.6161880493164
485,-92.59083557128906
486,-131.92657470703125
487,-82.28369140625
488,-90.21897888183594
489,-92.578125
490,-93.02381896972656
491,-77.69864654541016
492,-107.93672180175781
493,-83.6578598022461
494,-75.30416107177734
495,-106.09140014648438
496,-95.65930938720703
497,-118.84210968017578
498,-77.66535186767578
499,-98.79679107666016
