,events.out.tfevents.1680472215.a53ed19ff0d2.13485.0
0,-775.4816284179688
1,-892.1841430664062
2,-793.4166259765625
3,-870.3065185546875
4,-892.8339233398438
5,-951.4356689453125
6,-814.2012939453125
7,-743.5947265625
8,-869.710693359375
9,-895.2607421875
10,-836.041015625
11,-833.8587036132812
12,-817.2684326171875
13,-795.6885986328125
14,-840.9701538085938
15,-840.9469604492188
16,-868.4970092773438
17,-848.63232421875
18,-842.6470947265625
19,-779.9439086914062
20,-884.1085815429688
21,-776.8219604492188
22,-858.7504272460938
23,-726.8931274414062
24,-821.059814453125
25,-716.1256713867188
26,-926.5006713867188
27,-876.030029296875
28,-595.6537475585938
29,-812.5233764648438
30,-656.3948974609375
31,-658.805908203125
32,-844.830322265625
33,-907.6766967773438
34,-910.751708984375
35,-774.4833984375
36,-722.8432006835938
37,-795.2760009765625
38,-717.90869140625
39,-705.3597412109375
40,-745.9827880859375
41,-820.79931640625
42,-837.3214721679688
43,-817.1953735351562
44,-863.7994384765625
45,-726.81787109375
46,-717.7874755859375
47,-819.5699462890625
48,-735.2700805664062
49,-734.21826171875
50,-843.9584350585938
51,-658.8675537109375
52,-699.81396484375
53,-751.7045288085938
54,-760.051513671875
55,-630.2371826171875
56,-693.917724609375
57,-654.7733764648438
58,-748.1829223632812
59,-531.9642944335938
60,-514.7178344726562
61,-617.9622192382812
62,-771.2506713867188
63,-572.4548950195312
64,-589.0850830078125
65,-726.8595581054688
66,-594.0913696289062
67,-710.1707153320312
68,-524.7811279296875
69,-580.186767578125
70,-569.9078369140625
71,-595.4466552734375
72,-666.3081665039062
73,-570.0335693359375
74,-598.3102416992188
75,-588.570556640625
76,-736.864501953125
77,-513.2780151367188
78,-737.56201171875
79,-665.5230712890625
80,-641.6597900390625
81,-536.4208374023438
82,-599.3383178710938
83,-674.9649047851562
84,-658.5027465820312
85,-523.3363647460938
86,-479.52783203125
87,-593.3033447265625
88,-649.5659790039062
89,-730.2651977539062
90,-661.2407836914062
91,-601.38623046875
92,-617.6517333984375
93,-490.6102294921875
94,-667.2144775390625
95,-535.5472412109375
96,-717.9824829101562
97,-493.8639221191406
98,-556.474365234375
99,-522.42724609375
100,-544.3811645507812
101,-677.5247192382812
102,-530.640380859375
103,-647.0582275390625
104,-408.9859924316406
105,-495.78302001953125
106,-584.9282836914062
107,-487.7648620605469
108,-576.4282836914062
109,-373.9090881347656
110,-523.9825439453125
111,-553.554443359375
112,-543.7791137695312
113,-517.8515625
114,-558.2962036132812
115,-441.6300048828125
116,-399.06866455078125
117,-373.7161560058594
118,-452.0324401855469
119,-485.0562438964844
120,-433.9549865722656
121,-556.6326904296875
122,-475.47479248046875
123,-543.7084350585938
124,-442.715576171875
125,-535.8500366210938
126,-398.7114562988281
127,-440.1347351074219
128,-521.777099609375
129,-397.7215270996094
130,-437.2242431640625
131,-476.1470642089844
132,-430.0397033691406
133,-509.4231872558594
134,-409.1023864746094
135,-499.044921875
136,-372.24761962890625
137,-446.18658447265625
138,-365.27191162109375
139,-415.60064697265625
140,-459.1976318359375
141,-454.87188720703125
142,-487.65045166015625
143,-407.7696228027344
144,-373.94647216796875
145,-413.6914367675781
146,-420.84197998046875
147,-376.2236633300781
148,-388.4169006347656
149,-441.796875
150,-450.53741455078125
151,-344.7124938964844
152,-338.14019775390625
153,-388.9062194824219
154,-334.6384582519531
155,-375.9894104003906
156,-325.4471435546875
157,-499.6299743652344
158,-267.76458740234375
159,-370.1742248535156
160,-362.9087219238281
161,-408.9546813964844
162,-232.76165771484375
163,-360.7911071777344
164,-409.793212890625
165,-341.3882141113281
166,-410.401123046875
167,-315.97137451171875
