,events.out.tfevents.1680474156.a53ed19ff0d2.21848.0
128,-519.7221069335938
129,-400.1808166503906
130,-435.05157470703125
131,-474.2778015136719
132,-432.1533203125
133,-509.24505615234375
134,-410.45001220703125
135,-498.2281494140625
136,-368.8135681152344
137,-446.42620849609375
138,-359.5299072265625
139,-406.5597839355469
140,-454.6819763183594
141,-456.2165832519531
142,-488.1596984863281
143,-410.9718322753906
144,-384.1202392578125
145,-415.66375732421875
146,-428.5254821777344
147,-372.40625
148,-386.23321533203125
149,-437.2295837402344
150,-446.6215515136719
151,-337.24261474609375
152,-332.8494567871094
153,-390.3306884765625
154,-332.84161376953125
155,-373.6881103515625
156,-328.859375
157,-501.024658203125
158,-259.6504211425781
159,-370.05706787109375
160,-357.9143981933594
161,-406.0562744140625
162,-225.4015655517578
163,-356.3978271484375
164,-401.568359375
165,-333.9751892089844
166,-405.215087890625
167,-310.381591796875
168,-368.278076171875
169,-423.2452697753906
170,-326.818115234375
171,-348.53436279296875
172,-309.9663391113281
173,-274.50653076171875
174,-377.43499755859375
175,-338.4202575683594
176,-325.0357666015625
177,-286.4386901855469
178,-282.8332214355469
179,-308.9178771972656
180,-223.33480834960938
181,-250.1376190185547
182,-307.1502380371094
183,-302.532958984375
184,-259.4637145996094
185,-150.91539001464844
186,-413.9228210449219
187,-337.2627868652344
188,-283.6910705566406
189,-321.3080749511719
190,-344.2489929199219
191,-278.41571044921875
192,-319.335205078125
193,-222.6688232421875
194,-267.4379577636719
195,-194.69522094726562
196,-310.9371032714844
197,-173.4790802001953
198,-334.55804443359375
199,-184.41171264648438
200,-239.63670349121094
201,-193.03060913085938
202,-255.3428192138672
203,-248.49343872070312
204,-217.12037658691406
205,-156.7228546142578
206,-189.9515838623047
207,-268.788330078125
208,-206.3795928955078
209,-203.3250732421875
210,-141.81471252441406
211,-215.9783935546875
212,-280.9460144042969
213,-194.6749267578125
214,-278.7518615722656
215,-207.1891632080078
216,-186.966552734375
217,-228.00094604492188
218,-271.7237243652344
219,-113.85067749023438
220,-214.14871215820312
221,-141.0155029296875
222,-186.90591430664062
223,-135.1494598388672
224,-128.97146606445312
225,-134.35647583007812
226,-115.35173034667969
227,-209.4257354736328
228,-130.5347442626953
229,-101.49293518066406
230,-161.62628173828125
231,-115.29725646972656
232,-159.59774780273438
233,-191.15823364257812
234,-189.33157348632812
235,-74.74039459228516
236,-132.28781127929688
237,-164.9062042236328
238,-113.96421813964844
239,-117.25498962402344
240,-98.55282592773438
241,-93.38780212402344
242,-123.41084289550781
243,-125.71947479248047
244,-92.04505157470703
245,-113.65345001220703
246,-72.01177978515625
247,-84.74821472167969
248,-92.93362426757812
249,-73.91602325439453
250,-73.92711639404297
251,-98.2515869140625
252,-90.51557922363281
253,-91.33380126953125
254,-78.62416076660156
255,-87.01082611083984
256,-59.37515640258789
257,-69.38835906982422
258,-81.187255859375
259,-79.75808715820312
260,-63.29589080810547
261,-65.77653503417969
262,-83.5301284790039
263,-80.4249267578125
264,-72.72456359863281
265,-88.49142456054688
266,-83.28678894042969
267,-86.4725341796875
268,-69.33082580566406
269,-77.14250183105469
270,-93.25479888916016
271,-117.67138671875
272,-70.65992736816406
273,-69.5741958618164
274,-111.14488983154297
275,-98.29763793945312
276,-74.48446655273438
277,-85.18519592285156
278,-63.46538162231445
279,-94.37537384033203
280,-80.16499328613281
281,-74.22534942626953
282,-64.09625244140625
283,-97.18638610839844
284,-80.93030548095703
285,-77.1825180053711
286,-94.58989715576172
287,-79.35041809082031
288,-88.52877044677734
289,-110.10689544677734
290,-78.82359313964844
291,-76.53759765625
292,-71.41680145263672
293,-73.97059631347656
294,-88.33702850341797
295,-93.25608825683594
296,-67.2165756225586
297,-95.23419189453125
298,-70.6007308959961
299,-69.3543472290039
300,-82.26107025146484
301,-80.0838394165039
302,-83.05366516113281
303,-94.17465209960938
304,-92.78888702392578
305,-96.28688049316406
306,-85.86387634277344
307,-94.79131317138672
308,-75.34349822998047
309,-100.34862518310547
310,-114.58674621582031
311,-68.21751403808594
312,-71.44239044189453
313,-84.62285614013672
314,-90.68517303466797
315,-97.75389099121094
316,-112.40328979492188
317,-99.20347595214844
318,-96.97053527832031
319,-86.41997528076172
320,-74.2159652709961
321,-71.18848419189453
322,-85.93386840820312
323,-75.03074645996094
324,-114.14501953125
325,-79.46250915527344
326,-72.97269439697266
327,-63.827762603759766
328,-70.91175079345703
329,-75.93164825439453
330,-61.47467041015625
331,-65.49816131591797
332,-76.28413391113281
333,-106.33716583251953
334,-117.92137145996094
335,-102.29072570800781
336,-77.75343322753906
337,-68.66836547851562
338,-74.52247619628906
339,-88.02375030517578
340,-76.4781265258789
341,-89.20438385009766
342,-69.40953063964844
343,-77.73480224609375
344,-63.75123977661133
345,-66.17279052734375
346,-68.95206451416016
347,-103.2035140991211
348,-95.72712707519531
349,-79.5423583984375
350,-72.59461212158203
351,-69.93608093261719
352,-83.48251342773438
353,-135.46315002441406
354,-83.24910736083984
355,-74.26932525634766
356,-86.74759674072266
357,-91.1992416381836
358,-75.7303695678711
359,-76.75663757324219
360,-71.5576400756836
361,-97.12803649902344
362,-79.52128601074219
363,-112.54058837890625
364,-82.24467468261719
365,-63.866519927978516
366,-73.37262725830078
367,-122.22472381591797
368,-140.3661651611328
369,-95.72980499267578
370,-116.65287780761719
371,-82.30511474609375
372,-95.40184020996094
373,-100.39501190185547
374,-82.76704406738281
375,-83.32112121582031
376,-86.34320068359375
377,-88.82695007324219
378,-67.60945892333984
379,-66.67561340332031
380,-74.70704650878906
381,-81.21492767333984
382,-97.54444885253906
383,-112.35899353027344
384,-89.395751953125
385,-111.61862182617188
386,-76.75528717041016
387,-81.78643798828125
388,-111.35327911376953
389,-94.17261505126953
390,-99.14570617675781
391,-75.88469696044922
392,-85.69352722167969
393,-142.1698455810547
394,-94.03392791748047
395,-64.88300323486328
396,-82.8712387084961
397,-70.00940704345703
398,-95.54369354248047
399,-112.67713165283203
400,-70.4188232421875
401,-84.70887756347656
402,-96.05030822753906
403,-97.567138671875
404,-97.88619232177734
405,-76.02596282958984
406,-69.14022064208984
407,-83.60136413574219
408,-74.90663146972656
409,-113.42398071289062
410,-98.06609344482422
411,-84.44223022460938
412,-106.94031524658203
413,-85.90760803222656
414,-93.37879943847656
415,-77.09705352783203
416,-66.95711517333984
417,-91.97124481201172
418,-91.26107025146484
419,-74.2944107055664
420,-57.194541931152344
421,-75.10321044921875
422,-65.01492309570312
423,-111.89840698242188
424,-67.82231903076172
425,-71.38543701171875
426,-141.28099060058594
427,-80.44243621826172
428,-67.0777359008789
429,-74.87776947021484
430,-85.1468734741211
431,-93.6421890258789
432,-65.72533416748047
433,-109.40170288085938
434,-90.56716918945312
435,-78.29552459716797
436,-72.9435806274414
437,-93.894287109375
438,-84.35625457763672
439,-71.5905990600586
440,-62.0207633972168
441,-86.97647857666016
442,-116.9986801147461
443,-77.62374877929688
444,-78.25402069091797
445,-61.15410232543945
446,-63.5501594543457
447,-102.52974700927734
448,-85.44451141357422
449,-82.5278549194336
450,-98.78013610839844
451,-57.85654830932617
452,-95.13866424560547
453,-92.3474349975586
454,-86.27946472167969
455,-81.70213317871094
456,-73.21234130859375
457,-69.46161651611328
458,-83.04485321044922
459,-85.10914611816406
460,-92.39342498779297
461,-62.32440948486328
462,-70.07238006591797
463,-113.74947357177734
464,-129.40127563476562
465,-110.2154769897461
466,-87.77375030517578
467,-88.42191314697266
468,-81.94224548339844
469,-87.12248992919922
470,-66.4870834350586
471,-108.98271179199219
472,-84.32366180419922
473,-79.78368377685547
474,-85.94902038574219
475,-84.49217224121094
476,-67.85966491699219
477,-81.01214599609375
478,-100.55585479736328
479,-79.26507568359375
480,-97.21819305419922
481,-93.1361083984375
482,-71.76028442382812
483,-90.7015151977539
484,-78.25463104248047
485,-77.15595245361328
486,-142.7967529296875
487,-67.3321304321289
488,-79.14010620117188
489,-64.19108581542969
490,-75.3929214477539
491,-63.474403381347656
492,-86.52816009521484
493,-62.68353271484375
494,-66.53716278076172
495,-92.86509704589844
496,-81.76216125488281
497,-93.99546813964844
498,-75.7110595703125
499,-88.57080841064453
