,events.out.tfevents.1680474156.a53ed19ff0d2.21848.0
0,-775.4816284179688
1,-889.8026123046875
2,-783.0965576171875
3,-869.1863403320312
4,-892.8339233398438
5,-952.9805908203125
6,-815.834716796875
7,-743.4780883789062
8,-868.3193359375
9,-893.892822265625
10,-836.9307861328125
11,-830.2703857421875
12,-818.27587890625
13,-799.25732421875
14,-841.1697387695312
15,-843.982177734375
16,-870.45703125
17,-850.1990356445312
18,-843.5482788085938
19,-780.9710693359375
20,-884.58935546875
21,-780.7623901367188
22,-860.006103515625
23,-728.9302368164062
24,-820.910400390625
25,-718.5361938476562
26,-926.4298706054688
27,-873.2090454101562
28,-594.15673828125
29,-807.6698608398438
30,-647.8025512695312
31,-656.0419921875
32,-848.3411254882812
33,-906.8927001953125
34,-905.125732421875
35,-773.960693359375
36,-721.540283203125
37,-783.5714111328125
38,-715.6340942382812
39,-702.5814208984375
40,-744.3206787109375
41,-818.3649291992188
42,-835.4383544921875
43,-813.4818115234375
44,-866.1891479492188
45,-724.4381713867188
46,-721.2655639648438
47,-818.1384887695312
48,-729.20751953125
49,-728.688720703125
50,-841.25146484375
51,-658.4295654296875
52,-703.4767456054688
53,-754.107666015625
54,-760.1907348632812
55,-629.8138427734375
56,-692.1057739257812
57,-653.0609741210938
58,-744.275390625
59,-536.459716796875
60,-513.3128662109375
61,-613.0038452148438
62,-769.4180908203125
63,-570.8344116210938
64,-585.9140014648438
65,-728.2862548828125
66,-588.7586669921875
67,-709.9300537109375
68,-517.6544799804688
69,-578.7861328125
70,-559.5050048828125
71,-588.0538330078125
72,-671.3690795898438
73,-567.668212890625
74,-590.4187622070312
75,-586.521484375
76,-738.01904296875
77,-510.02294921875
78,-732.3450317382812
79,-667.799072265625
80,-639.5280151367188
81,-533.8128051757812
82,-594.9903564453125
83,-671.96923828125
84,-658.4880981445312
85,-514.1708374023438
86,-482.2261962890625
87,-593.2717895507812
88,-646.3192749023438
89,-737.0202026367188
90,-659.1165161132812
91,-601.3790893554688
92,-614.8997802734375
93,-489.4664306640625
94,-666.00390625
95,-534.3515625
96,-716.5303955078125
97,-488.3670654296875
98,-555.3237915039062
99,-518.1942138671875
100,-542.7123413085938
101,-672.0391845703125
102,-527.1314697265625
103,-646.1867065429688
104,-402.247802734375
105,-493.6637268066406
106,-581.4133911132812
107,-488.99334716796875
108,-573.00732421875
109,-368.6437683105469
110,-522.6497192382812
111,-546.2679443359375
112,-542.923828125
113,-517.4456176757812
114,-550.2654418945312
115,-443.9761657714844
116,-393.2627868652344
117,-369.9223937988281
118,-447.66131591796875
119,-478.7801513671875
120,-426.99658203125
121,-555.7684936523438
122,-472.4877014160156
123,-551.6805419921875
124,-451.3445129394531
125,-539.1903076171875
126,-403.5884094238281
127,-445.3061828613281
