,events.out.tfevents.1680489891.d2002b779051.31779.0
0,99.0574951171875
1,76.64277648925781
2,75.89460754394531
3,72.7483901977539
4,78.83294677734375
5,58.045631408691406
6,73.70940399169922
7,55.02845001220703
8,58.71263885498047
9,57.917991638183594
10,43.829429626464844
11,57.775123596191406
12,55.63237762451172
13,51.97230529785156
14,38.500091552734375
15,42.71888732910156
16,50.344722747802734
17,33.4235725402832
18,34.66435623168945
19,42.12944030761719
20,52.59394836425781
21,44.073516845703125
22,51.76953125
23,47.355010986328125
24,40.96233367919922
25,51.364933013916016
26,39.918052673339844
27,45.67430877685547
28,34.140228271484375
29,37.92509460449219
30,58.53227615356445
31,40.82744598388672
32,36.257843017578125
33,31.046092987060547
34,48.074371337890625
35,47.0509033203125
36,39.18788528442383
37,49.632469177246094
38,37.615135192871094
39,46.97308349609375
40,41.390769958496094
41,37.37800598144531
42,46.81889724731445
43,35.79121398925781
44,25.117490768432617
45,35.50886535644531
46,39.00774383544922
47,36.57084655761719
48,37.186641693115234
49,34.22056579589844
50,41.18905258178711
51,34.41270446777344
52,38.75642776489258
53,34.059268951416016
54,33.95799255371094
55,22.222267150878906
56,37.648704528808594
57,30.217313766479492
58,25.046207427978516
59,35.49563217163086
60,27.47243309020996
61,34.295127868652344
62,30.067855834960938
63,33.029319763183594
64,26.624794006347656
65,30.70369529724121
66,28.3507137298584
67,24.086618423461914
68,25.043033599853516
69,17.075441360473633
70,20.977418899536133
71,22.858020782470703
72,26.12428092956543
73,25.168888092041016
74,26.71133041381836
75,21.114002227783203
76,31.226219177246094
77,21.896442413330078
78,25.73159408569336
79,30.248046875
80,24.534160614013672
81,25.085296630859375
82,20.34135627746582
83,23.340970993041992
84,21.216468811035156
85,20.122756958007812
86,18.03175163269043
87,20.853940963745117
88,21.91270637512207
89,22.15335464477539
90,23.431467056274414
91,23.62979507446289
92,16.027629852294922
93,17.48725700378418
94,21.5661563873291
95,17.495670318603516
96,17.526424407958984
97,23.555593490600586
98,18.5808162689209
99,17.368371963500977
100,17.149864196777344
101,13.258136749267578
102,14.01350212097168
103,16.926483154296875
104,13.01681900024414
105,17.500892639160156
106,19.053768157958984
107,18.689390182495117
108,16.754261016845703
109,19.264575958251953
110,15.407816886901855
111,13.47130012512207
112,20.429889678955078
113,18.581924438476562
114,15.93517780303955
115,12.883687973022461
116,17.067615509033203
117,13.362791061401367
118,14.769256591796875
119,11.66964340209961
120,14.44141960144043
121,12.84868049621582
122,13.383132934570312
123,17.020021438598633
124,14.935684204101562
125,12.285239219665527
126,10.563322067260742
127,16.179981231689453
128,15.668137550354004
129,15.029258728027344
130,11.103170394897461
131,14.283305168151855
132,13.878715515136719
133,10.82598876953125
134,7.939943313598633
135,17.437702178955078
136,13.869892120361328
137,18.287433624267578
138,16.621219635009766
139,10.718278884887695
140,11.463929176330566
141,10.652992248535156
142,6.737406253814697
143,13.17757511138916
144,7.577611923217773
145,10.304792404174805
146,14.755342483520508
147,10.283822059631348
148,6.773474216461182
149,12.538850784301758
150,18.296222686767578
151,16.85714340209961
152,11.40847396850586
153,12.862800598144531
154,19.268535614013672
155,11.937023162841797
156,10.203431129455566
157,15.655318260192871
158,10.016138076782227
159,12.206689834594727
160,14.995933532714844
161,10.780465126037598
162,11.586997985839844
163,7.058073043823242
164,15.983011245727539
165,12.411005020141602
166,6.672497749328613
167,13.49355411529541
168,11.700616836547852
169,15.672760963439941
170,12.512048721313477
171,11.322122573852539
172,13.387600898742676
173,11.326440811157227
174,10.523355484008789
175,8.637255668640137
176,13.12483024597168
177,10.423784255981445
178,11.677465438842773
179,6.040116786956787
180,11.562788009643555
181,12.042060852050781
182,6.581237316131592
183,14.373543739318848
184,11.583166122436523
185,11.508222579956055
186,10.306859970092773
187,10.224397659301758
188,9.109884262084961
189,12.025859832763672
190,10.209280967712402
191,6.6993913650512695
192,10.819469451904297
193,11.3555326461792
194,13.920654296875
195,11.037513732910156
196,7.20553731918335
197,8.213994979858398
198,8.449814796447754
199,10.760107040405273
200,5.841382026672363
201,12.403852462768555
202,6.011319160461426
203,5.733431816101074
204,8.273618698120117
205,9.715818405151367
206,6.446145057678223
207,6.548554420471191
208,11.971574783325195
209,6.235779285430908
210,11.618315696716309
211,10.228599548339844
212,10.81835651397705
213,8.560113906860352
214,9.608985900878906
215,6.483156204223633
216,6.455633163452148
217,6.225091934204102
218,5.8105902671813965
