,events.out.tfevents.1680489891.d2002b779051.31779.0
312,-91.13027954101562
313,-87.54349517822266
314,-77.58883666992188
315,-92.06907653808594
316,-84.68077087402344
317,-76.23714447021484
318,-79.55662536621094
319,-69.2289047241211
320,-112.2527084350586
321,-99.33171081542969
322,-70.36736297607422
323,-95.56935119628906
324,-79.16426849365234
325,-98.26937103271484
326,-64.2544937133789
327,-70.94103240966797
328,-71.13639068603516
329,-74.04035949707031
330,-72.51713562011719
331,-77.49897766113281
332,-87.57344818115234
333,-92.9424819946289
334,-98.90655517578125
335,-97.90238952636719
336,-84.53565979003906
337,-71.01786041259766
338,-81.40103912353516
339,-80.97550201416016
340,-65.20052337646484
341,-73.5912857055664
342,-88.88233184814453
343,-63.35258483886719
344,-65.93830108642578
345,-105.55592346191406
346,-90.48355865478516
347,-74.04832458496094
348,-93.76629638671875
349,-72.20542907714844
350,-117.55320739746094
351,-94.8152847290039
352,-67.36518096923828
353,-77.35310363769531
354,-81.44194030761719
355,-62.75727462768555
356,-96.42736053466797
357,-66.967041015625
358,-82.24494934082031
359,-67.12073516845703
360,-78.46714782714844
361,-88.33219146728516
362,-82.74070739746094
363,-83.66049194335938
364,-83.31426239013672
365,-82.38264465332031
366,-92.59194946289062
367,-77.12947082519531
368,-96.26853942871094
369,-80.74918365478516
370,-93.05083465576172
371,-83.64107513427734
372,-70.87420654296875
373,-74.43645477294922
374,-67.02375793457031
375,-91.08374786376953
376,-72.24395751953125
377,-79.00695037841797
378,-66.75530242919922
379,-101.05339813232422
380,-89.83184051513672
381,-80.08010864257812
382,-77.1613540649414
383,-65.48655700683594
384,-73.24732208251953
385,-95.08214569091797
386,-75.97913360595703
387,-80.35934448242188
388,-97.43431091308594
389,-89.18993377685547
390,-85.24388885498047
391,-83.32698059082031
392,-96.83797454833984
393,-92.55057525634766
394,-100.85521697998047
395,-86.299072265625
396,-72.72858428955078
397,-103.28119659423828
398,-62.31773376464844
399,-127.27583312988281
400,-63.86390686035156
401,-80.26335144042969
402,-99.11397552490234
403,-82.85366821289062
404,-75.92322540283203
405,-74.24925994873047
406,-72.19986724853516
407,-74.21685791015625
408,-88.75186920166016
409,-89.5631103515625
410,-81.7102279663086
411,-68.69601440429688
412,-98.17440795898438
413,-94.59486389160156
414,-112.87042999267578
415,-61.34177780151367
416,-85.73571014404297
417,-82.07350158691406
418,-82.68576049804688
419,-92.0213623046875
420,-84.55164337158203
421,-75.27102661132812
422,-88.60684204101562
423,-73.96273040771484
424,-67.58760833740234
425,-74.35334777832031
426,-83.6020278930664
427,-66.41693878173828
428,-66.6199722290039
429,-95.37342834472656
430,-77.08148193359375
431,-75.68692779541016
432,-84.21430206298828
433,-85.30034637451172
434,-92.76148223876953
435,-84.40172576904297
436,-78.04500579833984
437,-81.974365234375
438,-84.39469909667969
439,-74.10160064697266
440,-66.2894515991211
441,-76.12676239013672
442,-68.0955581665039
443,-64.28327178955078
444,-95.76597595214844
445,-58.619754791259766
446,-88.62523651123047
447,-86.45330047607422
448,-59.02357482910156
449,-77.0843734741211
450,-103.70203399658203
451,-57.33498001098633
452,-60.028648376464844
453,-88.28559875488281
454,-89.89321899414062
455,-89.66403198242188
456,-68.3713607788086
457,-73.41095733642578
458,-62.76004409790039
459,-80.98948669433594
460,-71.63260650634766
461,-78.32051086425781
462,-81.14884948730469
463,-78.98567199707031
464,-74.07032012939453
465,-80.49378204345703
466,-72.38672637939453
467,-65.62653350830078
468,-103.71983337402344
469,-76.04106903076172
470,-69.82032012939453
471,-86.44373321533203
472,-71.5621337890625
473,-67.27118682861328
474,-113.65292358398438
475,-65.25853729248047
476,-64.31165313720703
477,-73.19938659667969
478,-78.12572479248047
479,-86.871826171875
480,-65.48931121826172
481,-80.26798248291016
482,-65.5400619506836
483,-76.45329284667969
484,-81.32625579833984
485,-96.16239166259766
486,-71.39376831054688
487,-109.66210174560547
488,-74.4282455444336
489,-94.91912078857422
490,-74.63078308105469
491,-85.13936614990234
492,-82.27779388427734
493,-85.58468627929688
494,-82.4713134765625
495,-64.8349838256836
496,-73.52651977539062
497,-99.14635467529297
498,-98.26411437988281
499,-79.35674285888672
