Date/Time,out_temp,qint_lump,qhvac_lump,qwin_lump,qradin_lump
 07/02  16:04:00,31.06666666666667,0.600583060957053,-2.952892488364721,1.5157089929613254,0.9935923333879796
 07/02  16:05:00,31.05833333333333,0.6011441142096978,-7.382553100915089,1.5158158972176095,0.9943666382108949
 07/02  16:06:00,31.050000000000008,0.6009073465035734,-3.0606958976833893,1.5158972155063375,0.9951225296808189
 07/02  16:07:00,31.04166666666667,0.6011092740954735,-2.690427891505823,1.5159530913917039,0.9958601159762476
 07/02  16:08:00,31.03333333333334,0.6004052293703946,-6.516759924746324,1.5159836673972453,0.9965795049923588
 07/02  16:09:00,31.02500000000001,0.6010758966055548,-5.098540116887223,1.5159890848141622,0.9972808032923398
 07/02  16:10:00,31.01666666666667,0.6009588541923554,-2.50113849227492,1.515969483513524,0.997964116380478
 07/02  16:11:00,31.00833333333333,0.5992598185825712,-3.874937770183425,1.5159250017624444,0.9986296004197242
 07/02  16:12:00,31.000000000000004,0.5995959878508209,-6.51669856441119,1.5158557760443236,0.9992637370795792
 07/02  16:13:00,30.99166666666667,0.5987762577064425,-2.602190826366099,1.5157619408832264,0.9999081123037928
 07/02  16:14:00,30.98333333333333,0.5980167810296271,-2.42880690921981,1.5156436286724928,1.0005213699150455
 07/02  16:15:00,30.975,0.5981066869831939,-7.307431072779815,1.5155009695076442,1.0011174326598717
 07/02  16:16:00,30.96666666666667,0.5988220425364634,-4.465857443957356,1.5153340910236575,1.0016964009162124
 07/02  16:17:00,30.958333333333336,0.6000539614828686,-3.1155801511153363,1.515143118236674,1.002258372784143
 07/02  16:18:00,30.95,0.5995504074854163,-4.861422818361229,1.5187540711552787,1.0053367973984084
 07/02  16:19:00,30.94166666666667,0.5996017183161079,-5.797998608642073,1.51874757138339,1.006018415678604
 07/02  16:20:00,30.933333333333334,0.5989474611231692,-2.866119429788015,1.518714311455836,1.0066807305812384
 07/02  16:21:00,30.925,0.597466611108118,-2.5781404080025485,1.5186545169735108,1.007323929670009
 07/02  16:22:00,30.916666666666664,0.5972733016315086,-7.01195630453086,1.5185684130013304,1.0079482000561497
 07/02  16:23:00,30.90833333333334,0.5971575125494986,-3.6572667275620834,1.5184562239221757,1.0085429032407474
 07/02  16:24:00,30.90000000000001,0.5982941811308988,-3.22066128279005,1.5183181732943871,1.0091407001384025
 07/02  16:25:00,30.89166666666667,0.597714399097954,-5.732278140705748,1.518154483712833,1.009709251681545
 07/02  16:26:00,30.883333333333336,0.5970816684391054,-4.498143061691643,1.5179653766735655,1.0102592862972348
 07/02  16:27:00,30.875,0.5968982685970489,-3.2066639560188785,1.51775107244208,1.0107909288518555
