Date/Time,out_temp
 07/01  00:01:00,20.03666666666667
 07/01  00:02:00,20.073333333333327
 07/01  00:03:00,20.11
 07/01  00:04:00,20.146666666666672
 07/01  00:05:00,20.183333333333334
 07/01  00:06:00,20.22
 07/01  00:07:00,20.256666666666664
 07/01  00:08:00,20.293333333333337
 07/01  00:09:00,20.33
 07/01  00:10:00,20.366666666666667
 07/01  00:11:00,20.403333333333332
 07/01  00:12:00,20.44
 07/01  00:13:00,20.476666666666667
 07/01  00:14:00,20.513333333333332
 07/01  00:15:00,20.55
 07/01  00:16:00,20.586666666666666
 07/01  00:17:00,20.623333333333335
 07/01  00:18:00,20.66
 07/01  00:19:00,20.69666666666667
 07/01  00:20:00,20.733333333333334
 07/01  00:21:00,20.77
 07/01  00:22:00,20.806666666666665
 07/01  00:23:00,20.843333333333334
 07/01  00:24:00,20.880000000000006
 07/01  00:25:00,20.916666666666664
 07/01  00:26:00,20.953333333333333
 07/01  00:27:00,20.990000000000006
 07/01  00:28:00,21.026666666666664
 07/01  00:29:00,21.063333333333333
 07/01  00:30:00,21.1
 07/01  00:31:00,21.136666666666667
 07/01  00:32:00,21.173333333333332
 07/01  00:33:00,21.21
 07/01  00:34:00,21.246666666666673
 07/01  00:35:00,21.283333333333328
 07/01  00:36:00,21.32
 07/01  00:37:00,21.35666666666667
 07/01  00:38:00,21.393333333333327
 07/01  00:39:00,21.43
 07/01  00:40:00,21.466666666666672
 07/01  00:41:00,21.50333333333333
 07/01  00:42:00,21.54
 07/01  00:43:00,21.57666666666667
 07/01  00:44:00,21.61333333333333
 07/01  00:45:00,21.65
 07/01  00:46:00,21.68666666666667
 07/01  00:47:00,21.723333333333336
 07/01  00:48:00,21.76
 07/01  00:49:00,21.79666666666667
 07/01  00:50:00,21.83333333333333
 07/01  00:51:00,21.87
 07/01  00:52:00,21.90666666666667
 07/01  00:53:00,21.943333333333335
 07/01  00:54:00,21.98
 07/01  00:55:00,22.01666666666667
 07/01  00:56:00,22.05333333333333
 07/01  00:57:00,22.09
 07/01  00:58:00,22.12666666666667
 07/01  00:59:00,22.16333333333333
 07/01  01:00:00,22.2
 07/01  01:01:00,22.19666666666667
 07/01  01:02:00,22.193333333333335
 07/01  01:03:00,22.19
 07/01  01:04:00,22.186666666666664
 07/01  01:05:00,22.18333333333333
 07/01  01:06:00,22.18
 07/01  01:07:00,22.17666666666667
 07/01  01:08:00,22.17333333333333
 07/01  01:09:00,22.17
 07/01  01:10:00,22.16666666666667
 07/01  01:11:00,22.16333333333333
 07/01  01:12:00,22.160000000000004
 07/01  01:13:00,22.15666666666667
 07/01  01:14:00,22.15333333333333
 07/01  01:15:00,22.15
 07/01  01:16:00,22.14666666666667
 07/01  01:17:00,22.143333333333334
 07/01  01:18:00,22.14
 07/01  01:19:00,22.13666666666667
 07/01  01:20:00,22.13333333333333
 07/01  01:21:00,22.13
 07/01  01:22:00,22.126666666666665
 07/01  01:23:00,22.123333333333335
 07/01  01:24:00,22.12
 07/01  01:25:00,22.11666666666667
 07/01  01:26:00,22.11333333333333
 07/01  01:27:00,22.11
 07/01  01:28:00,22.10666666666667
 07/01  01:29:00,22.10333333333333
 07/01  01:30:00,22.1
 07/01  01:31:00,22.096666666666664
 07/01  01:32:00,22.09333333333333
 07/01  01:33:00,22.09
 07/01  01:34:00,22.08666666666667
 07/01  01:35:00,22.08333333333333
 07/01  01:36:00,22.08
 07/01  01:37:00,22.07666666666667
 07/01  01:38:00,22.07333333333333
 07/01  01:39:00,22.07
 07/01  01:40:00,22.06666666666667
 07/01  01:41:00,22.06333333333333
 07/01  01:42:00,22.06
 07/01  01:43:00,22.05666666666667
 07/01  01:44:00,22.053333333333335
 07/01  01:45:00,22.05
 07/01  01:46:00,22.04666666666667
 07/01  01:47:00,22.04333333333333
 07/01  01:48:00,22.04
 07/01  01:49:00,22.03666666666667
 07/01  01:50:00,22.033333333333335
 07/01  01:51:00,22.03
 07/01  01:52:00,22.026666666666664
 07/01  01:53:00,22.02333333333333
 07/01  01:54:00,22.02
 07/01  01:55:00,22.01666666666667
 07/01  01:56:00,22.013333333333335
 07/01  01:57:00,22.01
 07/01  01:58:00,22.006666666666664
 07/01  01:59:00,22.00333333333333
 07/01  02:00:00,22.0
 07/01  02:01:00,21.99833333333333
 07/01  02:02:00,21.99666666666667
 07/01  02:03:00,21.995
 07/01  02:04:00,21.993333333333336
 07/01  02:05:00,21.991666666666664
 07/01  02:06:00,21.990000000000006
 07/01  02:07:00,21.98833333333333
 07/01  02:08:00,21.986666666666665
 07/01  02:09:00,21.985
 07/01  02:10:00,21.983333333333334
 07/01  02:11:00,21.98166666666667
 07/01  02:12:00,21.98
 07/01  02:13:00,21.978333333333335
 07/01  02:14:00,21.97666666666667
 07/01  02:15:00,21.975
 07/01  02:16:00,21.97333333333333
 07/01  02:17:00,21.97166666666667
 07/01  02:18:00,21.97
 07/01  02:19:00,21.96833333333333
 07/01  02:20:00,21.96666666666667
 07/01  02:21:00,21.965
 07/01  02:22:00,21.96333333333333
 07/01  02:23:00,21.96166666666667
 07/01  02:24:00,21.96
 07/01  02:25:00,21.95833333333333
 07/01  02:26:00,21.95666666666667
 07/01  02:27:00,21.955000000000005
 07/01  02:28:00,21.95333333333333
 07/01  02:29:00,21.951666666666664
 07/01  02:30:00,21.95
 07/01  02:31:00,21.94833333333333
 07/01  02:32:00,21.94666666666667
 07/01  02:33:00,21.945
 07/01  02:34:00,21.94333333333333
 07/01  02:35:00,21.94166666666667
 07/01  02:36:00,21.94
 07/01  02:37:00,21.93833333333333
 07/01  02:38:00,21.93666666666667
 07/01  02:39:00,21.935
 07/01  02:40:00,21.93333333333333
 07/01  02:41:00,21.931666666666665
 07/01  02:42:00,21.93
 07/01  02:43:00,21.92833333333333
 07/01  02:44:00,21.92666666666667
 07/01  02:45:00,21.925
 07/01  02:46:00,21.92333333333333
 07/01  02:47:00,21.921666666666663
 07/01  02:48:00,21.92
 07/01  02:49:00,21.91833333333333
 07/01  02:50:00,21.916666666666664
 07/01  02:51:00,21.915
 07/01  02:52:00,21.91333333333333
 07/01  02:53:00,21.91166666666667
 07/01  02:54:00,21.91
 07/01  02:55:00,21.908333333333335
 07/01  02:56:00,21.906666666666666
 07/01  02:57:00,21.905
 07/01  02:58:00,21.90333333333333
 07/01  02:59:00,21.901666666666664
 07/01  03:00:00,21.9
 07/01  03:01:00,21.896666666666665
 07/01  03:02:00,21.89333333333333
 07/01  03:03:00,21.89
 07/01  03:04:00,21.886666666666667
 07/01  03:05:00,21.88333333333333
 07/01  03:06:00,21.880000000000006
 07/01  03:07:00,21.876666666666665
 07/01  03:08:00,21.873333333333335
 07/01  03:09:00,21.87
 07/01  03:10:00,21.86666666666667
 07/01  03:11:00,21.86333333333333
 07/01  03:12:00,21.86
 07/01  03:13:00,21.85666666666667
 07/01  03:14:00,21.85333333333333
 07/01  03:15:00,21.85
 07/01  03:16:00,21.846666666666664
 07/01  03:17:00,21.84333333333333
 07/01  03:18:00,21.84
 07/01  03:19:00,21.83666666666667
 07/01  03:20:00,21.833333333333336
 07/01  03:21:00,21.83
 07/01  03:22:00,21.826666666666664
 07/01  03:23:00,21.82333333333333
 07/01  03:24:00,21.82
 07/01  03:25:00,21.816666666666666
 07/01  03:26:00,21.81333333333333
 07/01  03:27:00,21.810000000000006
 07/01  03:28:00,21.806666666666665
 07/01  03:29:00,21.80333333333333
 07/01  03:30:00,21.8
 07/01  03:31:00,21.79666666666667
 07/01  03:32:00,21.79333333333333
 07/01  03:33:00,21.79
 07/01  03:34:00,21.78666666666667
 07/01  03:35:00,21.78333333333333
 07/01  03:36:00,21.78
 07/01  03:37:00,21.77666666666667
 07/01  03:38:00,21.77333333333333
 07/01  03:39:00,21.77
 07/01  03:40:00,21.76666666666667
 07/01  03:41:00,21.763333333333332
 07/01  03:42:00,21.76
 07/01  03:43:00,21.756666666666664
 07/01  03:44:00,21.75333333333333
 07/01  03:45:00,21.75
 07/01  03:46:00,21.74666666666667
